CMDLINE /usr/bin/python3 lin_data.py
MEM 0.882812 1667751318.4728
MEM 9.125000 1667751318.5734
MEM 12.835938 1667751318.6740
MEM 15.675781 1667751318.7745
MEM 17.894531 1667751318.8750
MEM 19.605469 1667751318.9755
MEM 21.500000 1667751319.0761
MEM 23.472656 1667751319.1768
MEM 25.417969 1667751319.2775
MEM 27.523438 1667751319.3781
MEM 29.566406 1667751319.4786
MEM 31.757812 1667751319.5793
MEM 33.820312 1667751319.6799
MEM 35.875000 1667751319.7806
MEM 37.816406 1667751319.8812
MEM 39.878906 1667751319.9818
MEM 41.910156 1667751320.0825
MEM 44.167969 1667751320.1831
MEM 46.226562 1667751320.2838
MEM 48.187500 1667751320.3844
MEM 50.265625 1667751320.4850
MEM 52.328125 1667751320.5856
MEM 54.390625 1667751320.6863
MEM 56.558594 1667751320.7869
MEM 58.621094 1667751320.8876
MEM 60.683594 1667751320.9882
MEM 62.746094 1667751321.0888
MEM 64.656250 1667751321.1895
MEM 66.718750 1667751321.2901
MEM 68.781250 1667751321.3908
MEM 70.949219 1667751321.4914
MEM 73.007812 1667751321.5921
MEM 75.070312 1667751321.6927
MEM 77.132812 1667751321.7934
MEM 79.300781 1667751321.8940
MEM 81.363281 1667751321.9947
MEM 83.175781 1667751322.0953
MEM 85.238281 1667751322.1960
MEM 87.398438 1667751322.2966
MEM 89.562500 1667751322.3972
MEM 91.625000 1667751322.4979
MEM 93.433594 1667751322.5986
MEM 95.753906 1667751322.6997
MEM 97.816406 1667751322.8003
MEM 99.878906 1667751322.9010
MEM 101.789062 1667751323.0016
MEM 103.851562 1667751323.1023
MEM 105.914062 1667751323.2030
MEM 108.078125 1667751323.3036
MEM 110.140625 1667751323.4043
MEM 112.203125 1667751323.5049
MEM 114.265625 1667751323.6060
MEM 116.175781 1667751323.7066
MEM 118.238281 1667751323.8073
MEM 120.300781 1667751323.9079
MEM 122.468750 1667751324.0086
MEM 124.531250 1667751324.1092
MEM 126.593750 1667751324.2099
MEM 128.656250 1667751324.3105
MEM 81.546875 1667751324.4113
MEM 20.632812 1667751324.5119
MEM 22.179688 1667751324.6126
MEM 23.519531 1667751324.7132
MEM 24.808594 1667751324.8138
MEM 25.929688 1667751324.9144
MEM 27.218750 1667751325.0150
MEM 28.765625 1667751325.1157
MEM 30.019531 1667751325.2163
MEM 31.304688 1667751325.3169
MEM 32.593750 1667751325.4175
MEM 33.882812 1667751325.5181
MEM 35.171875 1667751325.6186
MEM 36.410156 1667751325.7192
MEM 37.855469 1667751325.8199
MEM 39.140625 1667751325.9205
MEM 40.429688 1667751326.0211
MEM 41.718750 1667751326.1217
MEM 43.007812 1667751326.2223
MEM 44.296875 1667751326.3229
MEM 45.585938 1667751326.4235
MEM 46.875000 1667751326.5241
MEM 48.164062 1667751326.6247
MEM 49.472656 1667751326.7254
MEM 50.761719 1667751326.8260
MEM 52.308594 1667751326.9266
MEM 53.597656 1667751327.0272
MEM 54.886719 1667751327.1278
MEM 56.175781 1667751327.2284
MEM 57.464844 1667751327.3290
MEM 58.753906 1667751327.4296
MEM 60.300781 1667751327.5302
MEM 61.421875 1667751327.6308
MEM 62.968750 1667751327.7314
MEM 64.257812 1667751327.8320
MEM 65.410156 1667751327.9326
MEM 66.953125 1667751328.0333
MEM 68.242188 1667751328.1339
MEM 69.531250 1667751328.2345
MEM 70.820312 1667751328.3351
MEM 72.109375 1667751328.4357
MEM 73.398438 1667751328.5363
MEM 74.687500 1667751328.6369
MEM 75.976562 1667751328.7413
MEM 77.265625 1667751328.8420
MEM 78.812500 1667751328.9427
MEM 80.101562 1667751329.0433
MEM 81.390625 1667751329.1439
MEM 82.679688 1667751329.2445
MEM 83.968750 1667751329.3451
MEM 85.257812 1667751329.4457
MEM 86.546875 1667751329.5464
MEM 87.835938 1667751329.6470
MEM 89.125000 1667751329.7476
MEM 90.414062 1667751329.8482
MEM 91.703125 1667751329.9488
MEM 92.843750 1667751330.0494
MEM 94.132812 1667751330.1500
MEM 95.421875 1667751330.2506
MEM 96.710938 1667751330.3512
MEM 98.000000 1667751330.4518
MEM 99.289062 1667751330.5525
MEM 100.578125 1667751330.6531
MEM 101.867188 1667751330.7536
MEM 103.156250 1667751330.8542
MEM 104.445312 1667751330.9548
MEM 105.734375 1667751331.0554
MEM 107.281250 1667751331.1560
MEM 108.570312 1667751331.2566
MEM 109.859375 1667751331.3573
MEM 111.148438 1667751331.4579
MEM 112.437500 1667751331.5585
MEM 113.726562 1667751331.6591
MEM 115.015625 1667751331.7597
MEM 116.304688 1667751331.8604
MEM 117.593750 1667751331.9610
MEM 118.882812 1667751332.0616
MEM 120.171875 1667751332.1622
MEM 121.460938 1667751332.2628
MEM 122.750000 1667751332.3634
MEM 124.011719 1667751332.4641
MEM 125.300781 1667751332.5647
MEM 126.589844 1667751332.6653
MEM 127.878906 1667751332.7659
MEM 129.167969 1667751332.8665
MEM 130.457031 1667751332.9671
MEM 131.746094 1667751333.0677
MEM 133.035156 1667751333.1683
MEM 121.292969 1667751333.2691
MEM 81.542969 1667751333.3699
MEM 20.394531 1667751333.4705
