CMDLINE /usr/bin/python3 multi_data.py
MEM 0.832031 1667751496.5769
MEM 9.859375 1667751496.6902
MEM 13.042969 1667751496.8046
MEM 16.054688 1667751496.9176
MEM 18.355469 1667751497.0305
MEM 20.054688 1667751497.1445
MEM 74.113281 1667751497.2577
MEM 78.519531 1667751497.3710
MEM 83.136719 1667751497.4843
MEM 87.648438 1667751497.5978
MEM 92.261719 1667751497.7110
MEM 96.371094 1667751497.8244
MEM 100.664062 1667751497.9382
MEM 105.433594 1667751498.0516
MEM 109.843750 1667751498.1650
MEM 114.187500 1667751498.2781
MEM 118.742188 1667751498.3915
MEM 123.203125 1667751498.5047
MEM 127.710938 1667751498.6183
MEM 132.210938 1667751498.7316
MEM 136.625000 1667751498.8449
MEM 140.964844 1667751498.9581
MEM 145.464844 1667751499.0714
MEM 150.058594 1667751499.1847
MEM 154.425781 1667751499.2979
MEM 158.960938 1667751499.4112
MEM 163.347656 1667751499.5246
MEM 167.632812 1667751499.6378
MEM 172.109375 1667751499.7510
MEM 176.722656 1667751499.8644
MEM 180.980469 1667751499.9776
MEM 185.621094 1667751500.0908
MEM 190.121094 1667751500.2041
MEM 194.496094 1667751500.3174
MEM 198.875000 1667751500.4307
MEM 203.375000 1667751500.5440
MEM 207.757812 1667751500.6573
MEM 212.359375 1667751500.7706
MEM 216.601562 1667751500.8839
MEM 221.242188 1667751500.9972
MEM 225.949219 1667751501.1105
MEM 230.187500 1667751501.2238
MEM 234.648438 1667751501.3370
MEM 239.078125 1667751501.4503
MEM 243.515625 1667751501.5637
MEM 247.898438 1667751501.6769
MEM 252.527344 1667751501.7902
MEM 257.031250 1667751501.9035
MEM 261.410156 1667751502.0168
MEM 265.781250 1667751502.1300
MEM 270.164062 1667751502.2433
MEM 275.179688 1667751502.3703
MEM 246.031250 1667751502.4865
MEM 155.050781 1667751502.5993
MEM 157.113281 1667751502.7121
MEM 159.175781 1667751502.8250
MEM 161.238281 1667751502.9378
MEM 163.558594 1667751503.0506
MEM 165.605469 1667751503.1635
MEM 167.667969 1667751503.2765
MEM 169.730469 1667751503.3893
MEM 171.507812 1667751503.5021
MEM 173.566406 1667751503.6150
MEM 175.886719 1667751503.7278
MEM 177.812500 1667751503.8406
MEM 179.871094 1667751503.9534
MEM 181.933594 1667751504.0662
MEM 183.738281 1667751504.1790
MEM 185.785156 1667751504.2918
MEM 188.101562 1667751504.4047
MEM 189.906250 1667751504.5176
MEM 191.968750 1667751504.6304
MEM 194.031250 1667751504.7433
MEM 195.835938 1667751504.8561
MEM 197.898438 1667751504.9689
MEM 200.218750 1667751505.0817
MEM 202.281250 1667751505.1945
MEM 204.085938 1667751505.3073
MEM 206.148438 1667751505.4201
MEM 206.132812 1667751505.5334
MEM 162.148438 1667751505.6477
MEM 78.800781 1667751505.7601
MEM 79.574219 1667751505.8725
MEM 80.089844 1667751505.9849
MEM 80.605469 1667751506.0973
MEM 81.121094 1667751506.2097
MEM 81.636719 1667751506.3220
MEM 82.410156 1667751506.4343
MEM 82.925781 1667751506.5467
MEM 83.441406 1667751506.6591
MEM 83.957031 1667751506.7715
MEM 84.472656 1667751506.8838
MEM 84.988281 1667751506.9962
MEM 85.761719 1667751507.1086
MEM 86.277344 1667751507.2209
MEM 86.792969 1667751507.3333
MEM 87.308594 1667751507.4457
MEM 87.824219 1667751507.5581
MEM 88.339844 1667751507.6704
MEM 88.855469 1667751507.7832
MEM 89.628906 1667751507.8956
MEM 90.144531 1667751508.0080
MEM 90.917969 1667751508.1496
MEM 91.433594 1667751508.2621
MEM 91.949219 1667751508.3745
MEM 92.429688 1667751508.4869
MEM 92.941406 1667751508.5993
MEM 93.457031 1667751508.7117
MEM 94.230469 1667751508.8241
MEM 94.746094 1667751508.9365
MEM 95.261719 1667751509.0489
MEM 95.777344 1667751509.1614
MEM 96.292969 1667751509.2738
MEM 96.808594 1667751509.3861
MEM 97.582031 1667751509.4985
MEM 98.097656 1667751509.6108
MEM 98.613281 1667751509.7234
MEM 99.128906 1667751509.8358
MEM 99.621094 1667751509.9482
MEM 100.394531 1667751510.0605
MEM 100.910156 1667751510.1729
MEM 101.425781 1667751510.2853
MEM 101.941406 1667751510.3976
MEM 102.457031 1667751510.5099
MEM 102.972656 1667751510.6223
MEM 103.488281 1667751510.7347
MEM 104.261719 1667751510.8470
MEM 104.777344 1667751510.9594
MEM 105.292969 1667751511.0718
MEM 105.808594 1667751511.1841
MEM 106.324219 1667751511.2965
MEM 106.839844 1667751511.4088
MEM 107.613281 1667751511.5213
MEM 108.128906 1667751511.6337
MEM 108.644531 1667751511.7460
MEM 109.160156 1667751511.8584
MEM 109.675781 1667751511.9707
MEM 110.191406 1667751512.0831
MEM 110.964844 1667751512.1955
MEM 111.480469 1667751512.3078
MEM 111.996094 1667751512.4202
MEM 112.511719 1667751512.5326
MEM 113.027344 1667751512.6450
MEM 113.542969 1667751512.7573
MEM 114.058594 1667751512.8698
MEM 114.832031 1667751512.9822
MEM 115.347656 1667751513.0945
MEM 115.863281 1667751513.2068
MEM 116.378906 1667751513.3192
MEM 116.894531 1667751513.4316
MEM 117.410156 1667751513.5439
MEM 118.183594 1667751513.6563
MEM 118.699219 1667751513.7687
MEM 119.214844 1667751513.8914
MEM 119.730469 1667751514.0040
MEM 120.246094 1667751514.1164
MEM 121.019531 1667751514.2288
MEM 121.535156 1667751514.3411
MEM 122.050781 1667751514.4536
MEM 122.566406 1667751514.5659
MEM 123.082031 1667751514.6783
MEM 123.597656 1667751514.7907
MEM 124.371094 1667751514.9031
MEM 124.886719 1667751515.0154
MEM 125.402344 1667751515.1278
MEM 125.917969 1667751515.2402
MEM 126.433594 1667751515.3526
MEM 126.949219 1667751515.4650
MEM 127.464844 1667751515.5773
MEM 128.238281 1667751515.6896
MEM 128.753906 1667751515.8020
MEM 129.269531 1667751515.9144
MEM 129.785156 1667751516.0268
MEM 130.300781 1667751516.1391
MEM 130.816406 1667751516.2515
MEM 131.589844 1667751516.3639
MEM 132.105469 1667751516.4763
MEM 132.621094 1667751516.5886
MEM 133.136719 1667751516.7010
MEM 133.652344 1667751516.8134
MEM 134.167969 1667751516.9259
MEM 134.941406 1667751517.0383
MEM 135.457031 1667751517.1506
MEM 135.972656 1667751517.2631
MEM 136.488281 1667751517.3754
MEM 136.929688 1667751517.4879
MEM 137.699219 1667751517.6003
MEM 138.214844 1667751517.7127
MEM 138.730469 1667751517.8251
MEM 139.246094 1667751517.9375
MEM 139.761719 1667751518.0498
MEM 140.277344 1667751518.1623
MEM 141.050781 1667751518.2746
MEM 141.566406 1667751518.3870
MEM 142.082031 1667751518.4993
MEM 142.597656 1667751518.6117
MEM 143.113281 1667751518.7241
MEM 143.628906 1667751518.8365
MEM 144.402344 1667751518.9489
MEM 144.917969 1667751519.0612
MEM 145.433594 1667751519.1736
MEM 145.949219 1667751519.2859
MEM 146.464844 1667751519.3983
MEM 146.980469 1667751519.5107
MEM 147.753906 1667751519.6391
MEM 148.269531 1667751519.7516
MEM 148.785156 1667751519.8641
MEM 149.425781 1667751519.9765
MEM 149.937500 1667751520.0889
MEM 150.453125 1667751520.2013
MEM 150.968750 1667751520.3137
MEM 151.484375 1667751520.4261
MEM 152.257812 1667751520.5386
MEM 152.773438 1667751520.6510
MEM 153.289062 1667751520.7635
MEM 153.804688 1667751520.8758
MEM 154.320312 1667751520.9882
