CMDLINE /usr/bin/python3 thread_data.py
MEM 0.699219 1667751406.1055
MEM 8.105469 1667751406.2061
MEM 12.636719 1667751406.3067
MEM 15.367188 1667751406.4072
MEM 17.851562 1667751406.5078
MEM 19.562500 1667751406.6083
MEM 20.839844 1667751406.7088
MEM 22.195312 1667751406.8094
MEM 23.878906 1667751406.9101
MEM 25.390625 1667751407.0107
MEM 26.566406 1667751407.1113
MEM 28.226562 1667751407.2118
MEM 29.382812 1667751407.3124
MEM 30.847656 1667751407.4129
MEM 31.910156 1667751407.5135
MEM 32.941406 1667751407.6140
MEM 34.199219 1667751407.7148
MEM 34.417969 1667751407.8153
MEM 35.859375 1667751407.9159
MEM 36.886719 1667751408.0165
MEM 38.441406 1667751408.1170
MEM 39.730469 1667751408.2175
MEM 40.871094 1667751408.3181
MEM 42.941406 1667751408.4186
MEM 44.050781 1667751408.5193
MEM 44.558594 1667751408.6200
MEM 45.332031 1667751408.7208
MEM 46.359375 1667751408.8215
MEM 47.246094 1667751408.9221
MEM 48.019531 1667751409.0226
MEM 49.195312 1667751409.1231
MEM 50.398438 1667751409.2237
MEM 51.203125 1667751409.3242
MEM 52.746094 1667751409.4248
MEM 53.863281 1667751409.5253
MEM 55.406250 1667751409.6259
MEM 56.695312 1667751409.7265
MEM 57.984375 1667751409.8270
MEM 59.023438 1667751409.9276
MEM 60.570312 1667751410.0282
MEM 62.117188 1667751410.1288
MEM 63.707031 1667751410.2294
MEM 64.738281 1667751410.3300
MEM 66.023438 1667751410.4308
MEM 66.421875 1667751410.5317
MEM 66.937500 1667751410.6324
MEM 67.964844 1667751410.7330
MEM 69.253906 1667751410.8336
MEM 70.460938 1667751410.9341
MEM 71.460938 1667751411.0347
MEM 72.742188 1667751411.1352
MEM 73.636719 1667751411.2370
MEM 74.992188 1667751411.3376
MEM 75.765625 1667751411.4384
MEM 76.277344 1667751411.5391
MEM 77.484375 1667751411.6397
MEM 78.652344 1667751411.7402
MEM 79.937500 1667751411.8408
MEM 81.117188 1667751411.9414
MEM 82.664062 1667751412.0420
MEM 84.207031 1667751412.1426
MEM 85.351562 1667751412.2432
MEM 85.863281 1667751412.3440
MEM 87.152344 1667751412.4446
MEM 87.925781 1667751412.5453
MEM 88.441406 1667751412.6460
MEM 89.507812 1667751412.7466
MEM 91.359375 1667751412.8472
MEM 92.503906 1667751412.9478
MEM 94.253906 1667751413.0484
MEM 95.542969 1667751413.1490
MEM 96.832031 1667751413.2495
MEM 98.121094 1667751413.3501
MEM 99.031250 1667751413.4508
MEM 99.289062 1667751413.5515
MEM 100.929688 1667751413.6522
MEM 102.734375 1667751413.7528
MEM 104.097656 1667751413.8533
MEM 105.378906 1667751413.9539
MEM 107.378906 1667751414.0545
MEM 108.316406 1667751414.1551
MEM 109.855469 1667751414.2557
MEM 110.628906 1667751414.3564
MEM 111.660156 1667751414.4569
MEM 113.207031 1667751414.5575
MEM 114.238281 1667751414.6580
MEM 115.945312 1667751414.7586
MEM 116.960938 1667751414.8592
MEM 118.851562 1667751414.9598
MEM 120.394531 1667751415.0604
MEM 121.683594 1667751415.1610
