CMDLINE C:\Users\omas1\anaconda3\envs\OperatingSystems\python.exe lin_data.py
MEM 1.550781 1667670293.2748
MEM 13.242188 1667670293.3841
MEM 19.640625 1667670293.4935
MEM 29.847656 1667670293.6029
MEM 40.148438 1667670293.7124
MEM 51.433594 1667670293.8218
MEM 62.617188 1667670293.9312
MEM 73.929688 1667670294.0405
MEM 85.503906 1667670294.1501
MEM 96.105469 1667670294.2594
MEM 105.882812 1667670294.3688
MEM 115.046875 1667670294.4781
MEM 157.460938 1667670294.5875
MEM 138.078125 1667670294.6968
MEM 149.007812 1667670294.8062
MEM 158.011719 1667670294.9155
MEM 168.824219 1667670295.0248
MEM 179.128906 1667670295.1342
MEM 224.187500 1667670295.2436
MEM 201.011719 1667670295.3529
MEM 268.714844 1667670295.4623
MEM 223.015625 1667670295.5716
MEM 237.589844 1667670295.6809
MEM 27.183594 1667670295.7903
MEM 26.644531 1667670295.8996
MEM 32.277344 1667670296.0090
MEM 38.070312 1667670296.1183
MEM 43.851562 1667670296.2277
MEM 49.628906 1667670296.3370
MEM 55.226562 1667670296.4464
MEM 60.835938 1667670296.5557
MEM 66.777344 1667670296.6651
MEM 72.312500 1667670296.7744
MEM 77.968750 1667670296.8838
MEM 83.632812 1667670296.9931
MEM 89.757812 1667670297.1025
MEM 95.367188 1667670297.2118
MEM 101.062500 1667670297.3212
MEM 107.062500 1667670297.4305
MEM 112.445312 1667670297.5399
MEM 118.632812 1667670297.6496
MEM 124.066406 1667670297.7592
MEM 130.253906 1667670297.8686
MEM 135.738281 1667670297.9769
MEM 141.738281 1667670298.0862
MEM 147.042969 1667670298.1956
MEM 153.175781 1667670298.3049
MEM 159.175781 1667670298.4143
MEM 163.859375 1667670298.5143
MEM 170.070312 1667670298.6236
MEM 176.234375 1667670298.7330
MEM 180.218750 1667670298.8424
MEM 186.480469 1667670298.9517
MEM 192.667969 1667670299.0611
MEM 245.597656 1667670299.1704
MEM 203.796875 1667670299.2798
MEM 209.734375 1667670299.3891
MEM 215.796875 1667670299.4985
MEM 220.855469 1667670299.6078
MEM 226.687500 1667670299.7171
MEM 232.812500 1667670299.8265
MEM 238.933594 1667670299.9359
MEM 244.875000 1667670300.0452
MEM 204.605469 1667670300.1546
MEM 22.265625 1667670300.2639
MEM 24.664062 1667670300.3732
MEM 27.816406 1667670300.4828
MEM 31.300781 1667670300.5922
MEM 34.085938 1667670300.7015
MEM 37.148438 1667670300.8109
MEM 40.230469 1667670300.9202
MEM 43.375000 1667670301.0296
MEM 46.386719 1667670301.1389
MEM 49.437500 1667670301.2483
MEM 52.449219 1667670301.3576
MEM 55.515625 1667670301.4669
MEM 58.589844 1667670301.5763
MEM 61.839844 1667670301.6856
MEM 64.812500 1667670301.7950
MEM 81.734375 1667670301.9043
MEM 71.019531 1667670302.0137
MEM 74.089844 1667670302.1230
MEM 77.339844 1667670302.2326
MEM 80.390625 1667670302.3424
MEM 83.335938 1667670302.4517
MEM 86.585938 1667670302.5611
MEM 89.546875 1667670302.6704
MEM 92.796875 1667670302.7798
MEM 95.921875 1667670302.8891
MEM 98.937500 1667670302.9985
MEM 102.125000 1667670303.1078
MEM 105.179688 1667670303.2172
MEM 107.726562 1667670303.3266
MEM 110.851562 1667670303.4359
MEM 114.101562 1667670303.5452
MEM 116.964844 1667670303.6546
MEM 120.117188 1667670303.7639
MEM 123.324219 1667670303.8733
MEM 126.519531 1667670303.9826
MEM 129.437500 1667670304.0920
MEM 132.625000 1667670304.2014
MEM 135.812500 1667670304.3107
MEM 138.878906 1667670304.4201
MEM 178.742188 1667670304.5294
MEM 144.921875 1667670304.6388
MEM 148.109375 1667670304.7481
MEM 151.234375 1667670304.8574
MEM 154.367188 1667670304.9668
MEM 157.261719 1667670305.0762
MEM 160.136719 1667670305.1855
MEM 163.386719 1667670305.2949
MEM 166.441406 1667670305.4042
MEM 169.636719 1667670305.5136
MEM 172.824219 1667670305.6229
MEM 175.589844 1667670305.7323
MEM 178.777344 1667670305.8416
MEM 181.964844 1667670305.9534
MEM 185.089844 1667670306.0628
MEM 188.339844 1667670306.1721
MEM 191.527344 1667670306.2815
MEM 194.136719 1667670306.3908
MEM 197.136719 1667670306.5002
MEM 200.261719 1667670306.6095
MEM 203.386719 1667670306.7189
MEM 206.136719 1667670306.8285
MEM 207.886719 1667670306.9398
MEM 209.574219 1667670307.0491
MEM 211.183594 1667670307.1585
MEM 213.636719 1667670307.2688
MEM 215.355469 1667670307.3782
MEM 217.667969 1667670307.4875
MEM 220.406250 1667670307.5968
MEM 223.230469 1667670307.7062
MEM 226.042969 1667670307.8155
MEM 228.105469 1667670307.9257
MEM 230.355469 1667670308.0350
MEM 232.167969 1667670308.1444
MEM 234.167969 1667670308.2537
MEM 235.769531 1667670308.3631
MEM 237.355469 1667670308.4725
MEM 238.839844 1667670308.5818
MEM 240.902344 1667670308.6911
MEM 243.214844 1667670308.7946
MEM 245.964844 1667670308.9050
MEM 249.089844 1667670309.0144
MEM 251.703125 1667670309.1237
MEM 254.214844 1667670309.2331
MEM 256.761719 1667670309.3425
MEM 259.714844 1667670309.4518
MEM 262.902344 1667670309.5612
MEM 270.238281 1667670309.6707
MEM 268.371094 1667670309.7801
