CMDLINE C:\Users\omas1\anaconda3\envs\OperatingSystems\python.exe multi_data.py
MEM 1.562500 1667671208.9886
MEM 11.636719 1667671209.0979
MEM 18.277344 1667671209.2073
MEM 49.085938 1667671209.3166
MEM 65.324219 1667671209.4260
MEM 74.191406 1667671209.5353
MEM 89.863281 1667671209.6447
MEM 100.906250 1667671209.7540
MEM 114.019531 1667671209.8634
MEM 125.660156 1667671209.9727
MEM 136.140625 1667671210.0821
MEM 144.906250 1667671210.1914
MEM 157.957031 1667671210.3008
MEM 169.523438 1667671210.4101
MEM 181.613281 1667671210.5195
MEM 194.031250 1667671210.6350
MEM 206.031250 1667671210.7443
MEM 219.191406 1667671210.8537
MEM 231.589844 1667671210.9630
MEM 244.437500 1667671211.0724
MEM 256.199219 1667671211.1817
MEM 267.929688 1667671211.2911
MEM 280.671875 1667671211.4004
MEM 292.390625 1667671211.5098
MEM 337.429688 1667671211.6231
MEM 315.734375 1667671211.7325
MEM 335.000000 1667671211.8418
MEM 342.582031 1667671211.9512
MEM 356.105469 1667671212.0605
MEM 367.343750 1667671212.1699
MEM 379.835938 1667671212.2792
MEM 393.023438 1667671212.3886
MEM 402.511719 1667671212.4979
MEM 415.183594 1667671212.6073
MEM 434.714844 1667671212.7166
MEM 441.707031 1667671212.8260
MEM 454.277344 1667671212.9353
MEM 466.339844 1667671213.0447
MEM 477.937500 1667671213.1540
MEM 300.175781 1667671213.2634
MEM 252.859375 1667671213.3727
MEM 259.539062 1667671213.4821
MEM 267.539062 1667671213.5914
MEM 309.144531 1667671213.7008
MEM 299.078125 1667671213.8101
MEM 287.558594 1667671213.9195
MEM 295.800781 1667671214.0288
MEM 346.875000 1667671214.1382
MEM 309.031250 1667671214.2475
MEM 315.687500 1667671214.3569
MEM 323.343750 1667671214.4662
MEM 330.703125 1667671214.5756
MEM 334.886719 1667671214.6849
MEM 341.277344 1667671214.8099
MEM 347.875000 1667671214.9192
MEM 354.628906 1667671215.0286
MEM 363.175781 1667671215.1379
MEM 369.714844 1667671215.2473
MEM 378.320312 1667671215.3566
MEM 385.507812 1667671215.4660
MEM 393.648438 1667671215.5753
MEM 399.445312 1667671215.6847
MEM 463.097656 1667671215.7940
MEM 329.257812 1667671215.9034
MEM 166.511719 1667671216.0127
MEM 169.582031 1667671216.1221
MEM 172.644531 1667671216.2315
MEM 175.832031 1667671216.3408
MEM 178.527344 1667671216.4501
MEM 181.589844 1667671216.5595
MEM 184.777344 1667671216.6689
MEM 187.902344 1667671216.7782
MEM 191.074219 1667671216.8875
MEM 194.152344 1667671216.9969
MEM 196.843750 1667671217.1062
MEM 199.921875 1667671217.2156
MEM 203.171875 1667671217.3249
MEM 206.234375 1667671217.4343
MEM 209.296875 1667671217.5436
MEM 212.484375 1667671217.6530
MEM 215.074219 1667671217.7623
MEM 217.511719 1667671217.8717
MEM 220.699219 1667671217.9810
MEM 223.761719 1667671218.0904
MEM 226.886719 1667671218.1997
MEM 230.011719 1667671218.3091
MEM 233.074219 1667671218.4184
MEM 276.222656 1667671218.5277
MEM 238.730469 1667671218.6371
MEM 241.734375 1667671218.7464
MEM 244.984375 1667671218.8558
MEM 248.171875 1667671218.9651
MEM 250.609375 1667671219.0745
MEM 251.984375 1667671219.1838
MEM 254.234375 1667671219.2932
MEM 256.359375 1667671219.4025
MEM 258.921875 1667671219.5119
MEM 260.593750 1667671219.6212
MEM 262.968750 1667671219.7265
MEM 264.843750 1667671219.8358
MEM 266.656250 1667671219.9452
MEM 268.906250 1667671220.0545
MEM 271.093750 1667671220.1639
MEM 273.156250 1667671220.2732
MEM 275.281250 1667671220.3826
MEM 276.968750 1667671220.4919
MEM 278.531250 1667671220.6013
MEM 280.156250 1667671220.7106
MEM 282.218750 1667671220.8200
MEM 283.843750 1667671220.9293
MEM 286.218750 1667671221.0306
MEM 288.613281 1667671221.1409
MEM 132.863281 1667671221.2503
