CMDLINE C:\Users\omas1\anaconda3\envs\OperatingSystems\python.exe thread_data.py
MEM 1.539062 1667670350.1904
MEM 10.988281 1667670350.2998
MEM 18.242188 1667670350.4091
MEM 27.007812 1667670350.5185
MEM 33.070312 1667670350.6278
MEM 40.906250 1667670350.7377
MEM 47.480469 1667670350.8470
MEM 53.796875 1667670350.9566
MEM 60.929688 1667670351.0659
MEM 67.472656 1667670351.1753
MEM 72.281250 1667670351.2846
MEM 78.781250 1667670351.3940
MEM 85.582031 1667670351.5033
MEM 94.585938 1667670351.6127
MEM 99.765625 1667670351.7220
MEM 106.511719 1667670351.8314
MEM 113.546875 1667670351.9407
MEM 119.953125 1667670352.0501
MEM 126.144531 1667670352.1594
MEM 132.835938 1667670352.2694
MEM 139.246094 1667670352.3787
MEM 146.046875 1667670352.4881
MEM 153.359375 1667670352.5974
MEM 159.914062 1667670352.7070
MEM 167.796875 1667670352.8164
MEM 173.574219 1667670352.9257
MEM 179.835938 1667670353.0351
MEM 186.210938 1667670353.1444
MEM 191.199219 1667670353.2538
MEM 198.132812 1667670353.3631
MEM 204.937500 1667670353.4725
MEM 212.031250 1667670353.5819
MEM 217.226562 1667670353.6912
MEM 222.550781 1667670353.8006
MEM 229.683594 1667670353.9101
MEM 234.757812 1667670354.0195
MEM 240.246094 1667670354.1257
MEM 245.996094 1667670354.2350
MEM 252.746094 1667670354.3444
MEM 259.210938 1667670354.4538
MEM 266.199219 1667670354.5631
MEM 271.933594 1667670354.6725
MEM 276.933594 1667670354.7818
MEM 281.093750 1667670354.8911
MEM 285.234375 1667670355.0005
MEM 290.437500 1667670355.1098
MEM 294.359375 1667670355.2192
MEM 298.296875 1667670355.3285
MEM 301.296875 1667670355.4379
MEM 307.031250 1667670355.5472
MEM 312.613281 1667670355.6568
MEM 316.871094 1667670355.7661
MEM 321.425781 1667670355.8755
MEM 326.300781 1667670355.9848
MEM 331.550781 1667670356.0942
MEM 343.871094 1667670356.2035
MEM 339.632812 1667670356.3133
MEM 343.359375 1667670356.4227
MEM 347.109375 1667670356.5320
MEM 352.109375 1667670356.6414
MEM 355.421875 1667670356.7605
MEM 362.109375 1667670356.8708
MEM 367.550781 1667670356.9801
MEM 374.425781 1667670357.0895
MEM 379.875000 1667670357.1988
MEM 386.605469 1667670357.3088
MEM 393.042969 1667670357.4182
MEM 398.804688 1667670357.5275
MEM 405.574219 1667670357.6369
MEM 412.136719 1667670357.7462
MEM 420.093750 1667670357.8556
MEM 424.277344 1667670357.9649
MEM 339.511719 1667670358.0743
MEM 340.941406 1667670358.1836
MEM 342.503906 1667670358.2930
MEM 343.941406 1667670358.4025
MEM 379.531250 1667670358.5118
MEM 346.484375 1667670358.6212
MEM 348.046875 1667670358.7305
MEM 349.421875 1667670358.8399
MEM 350.921875 1667670358.9492
MEM 352.359375 1667670359.0586
MEM 400.257812 1667670359.1679
MEM 354.949219 1667670359.2773
MEM 356.449219 1667670359.3866
MEM 357.824219 1667670359.4960
MEM 359.449219 1667670359.6053
MEM 360.886719 1667670359.7147
MEM 362.386719 1667670359.8240
MEM 363.484375 1667670359.9334
MEM 364.921875 1667670360.0428
MEM 366.234375 1667670360.1521
MEM 367.859375 1667670360.2614
MEM 369.296875 1667670360.3709
MEM 370.796875 1667670360.4803
MEM 372.234375 1667670360.5897
MEM 373.656250 1667670360.6990
MEM 374.820312 1667670360.8083
MEM 376.257812 1667670360.9177
MEM 377.757812 1667670361.0270
MEM 379.132812 1667670361.1367
MEM 380.695312 1667670361.2460
MEM 382.132812 1667670361.3553
MEM 383.695312 1667670361.4649
MEM 414.898438 1667670361.5742
MEM 386.351562 1667670361.6836
MEM 387.527344 1667670361.7929
MEM 378.839844 1667670361.9023
MEM 301.371094 1667670362.0119
MEM 302.183594 1667670362.1182
MEM 303.058594 1667670362.2275
MEM 303.832031 1667670362.3372
MEM 304.832031 1667670362.4465
MEM 305.832031 1667670362.5620
MEM 306.769531 1667670362.6714
MEM 307.707031 1667670362.7808
MEM 308.558594 1667670362.8901
MEM 309.558594 1667670362.9994
MEM 310.496094 1667670363.1088
MEM 311.371094 1667670363.2181
MEM 312.308594 1667670363.3275
MEM 313.246094 1667670363.4369
MEM 314.062500 1667670363.5462
MEM 315.000000 1667670363.6555
MEM 315.875000 1667670363.7649
MEM 316.812500 1667670363.8743
MEM 317.812500 1667670363.9836
MEM 318.750000 1667670364.0930
MEM 371.058594 1667670364.2023
MEM 320.484375 1667670364.3117
MEM 321.484375 1667670364.4210
MEM 322.421875 1667670364.5303
MEM 323.359375 1667670364.6397
MEM 324.296875 1667670364.7490
MEM 325.234375 1667670364.8584
MEM 327.273438 1667670364.9678
MEM 326.972656 1667670365.0771
MEM 327.910156 1667670365.1865
MEM 328.785156 1667670365.2958
MEM 329.722656 1667670365.4052
MEM 330.597656 1667670365.5146
MEM 331.535156 1667670365.6244
MEM 332.472656 1667670365.7338
MEM 333.410156 1667670365.8433
MEM 334.207031 1667670365.9526
MEM 335.164062 1667670366.0620
MEM 336.144531 1667670366.1713
MEM 337.082031 1667670366.2807
MEM 338.019531 1667670366.3900
MEM 339.019531 1667670366.4994
MEM 339.957031 1667670366.6087
MEM 340.894531 1667670366.7183
MEM 341.832031 1667670366.8279
MEM 342.574219 1667670366.9373
MEM 44.621094 1667670367.0466
