CMDLINE C:\Users\takyt\AppData\Local\Programs\Python\Python310\python.exe lin_data.py
MEM 2.199219 1666595639.7244
MEM 20.882812 1666595639.8337
MEM 30.660156 1666595639.9417
MEM 39.613281 1666595640.0519
MEM 54.246094 1666595640.1649
MEM 85.914062 1666595640.2721
MEM 111.152344 1666595640.3836
MEM 125.351562 1666595640.4972
MEM 152.488281 1666595640.6207
MEM 181.671875 1666595640.7303
MEM 202.437500 1666595640.8428
MEM 229.296875 1666595640.9533
MEM 255.078125 1666595641.0649
MEM 47.628906 1666595641.1775
MEM 62.417969 1666595641.2886
MEM 76.531250 1666595641.3992
MEM 106.328125 1666595641.5117
MEM 104.804688 1666595641.6233
MEM 119.476562 1666595641.7348
MEM 133.046875 1666595641.8440
MEM 147.363281 1666595641.9566
MEM 161.132812 1666595642.0673
MEM 175.734375 1666595642.1799
MEM 189.839844 1666595642.2901
MEM 203.968750 1666595642.4006
MEM 219.289062 1666595642.5112
MEM 232.945312 1666595642.6207
MEM 247.019531 1666595642.7312
MEM 263.332031 1666595642.8418
MEM 130.019531 1666595642.9534
MEM 49.015625 1666595643.0611
MEM 56.410156 1666595643.1717
MEM 63.113281 1666595643.2812
MEM 70.382812 1666595643.3913
MEM 77.570312 1666595643.5028
MEM 84.710938 1666595643.6144
MEM 91.777344 1666595643.7219
MEM 99.003906 1666595643.8305
MEM 106.214844 1666595643.9411
MEM 113.652344 1666595644.0516
MEM 121.050781 1666595644.1623
MEM 128.097656 1666595644.2740
MEM 135.410156 1666595644.3816
MEM 142.320312 1666595644.4926
MEM 160.191406 1666595644.6022
MEM 156.824219 1666595644.7147
MEM 163.507812 1666595644.8233
MEM 170.882812 1666595644.9338
MEM 210.234375 1666595645.0464
MEM 185.414062 1666595645.1569
MEM 192.695312 1666595645.2665
MEM 199.277344 1666595645.3780
MEM 206.214844 1666595645.4910
MEM 213.527344 1666595645.6006
MEM 220.125000 1666595645.7132
MEM 227.500000 1666595645.8257
MEM 235.312500 1666595645.9353
MEM 242.011719 1666595646.0478
MEM 249.574219 1666595646.1583
MEM 257.136719 1666595646.2688
MEM 263.769531 1666595646.3795
MEM 271.457031 1666595646.4915
MEM 278.957031 1666595646.6021
MEM 286.332031 1666595646.7136
MEM 93.964844 1666595646.8257
