CMDLINE C:\Users\takyt\AppData\Local\Programs\Python\Python310\python.exe multi_data.py
MEM 2.199219 1666595663.3218
MEM 21.617188 1666595663.4367
MEM 31.171875 1666595663.5449
MEM 39.988281 1666595663.6545
MEM 82.468750 1666595663.7642
MEM 115.812500 1666595663.8746
MEM 141.121094 1666595663.9835
MEM 162.179688 1666595664.0950
MEM 200.011719 1666595664.2169
MEM 240.519531 1666595664.3274
MEM 277.324219 1666595664.4380
MEM 314.941406 1666595664.5489
MEM 352.664062 1666595664.6624
MEM 390.917969 1666595664.7959
MEM 437.089844 1666595664.9149
MEM 475.515625 1666595665.0395
MEM 508.128906 1666595665.1490
MEM 576.539062 1666595665.2616
MEM 584.289062 1666595665.3691
MEM 388.210938 1666595665.4826
MEM 377.386719 1666595665.5937
MEM 386.324219 1666595665.7064
MEM 409.203125 1666595665.8154
MEM 445.765625 1666595665.9269
MEM 452.953125 1666595666.0379
MEM 235.828125 1666595666.1464
MEM 200.328125 1666595666.2579
MEM 207.410156 1666595666.3701
MEM 214.785156 1666595666.4786
MEM 221.675781 1666595666.5901
MEM 228.863281 1666595666.7023
MEM 236.488281 1666595666.8138
MEM 243.132812 1666595666.9278
MEM 250.320312 1666595667.0343
MEM 257.078125 1666595667.1469
MEM 263.828125 1666595667.2574
MEM 271.703125 1666595667.3679
MEM 278.425781 1666595667.4767
MEM 285.800781 1666595667.5852
MEM 293.550781 1666595667.6967
MEM 301.300781 1666595667.8083
MEM 307.812500 1666595667.9213
MEM 315.437500 1666595668.0318
MEM 322.812500 1666595668.1424
MEM 376.843750 1666595668.2549
MEM 84.742188 1666595668.3644
