CMDLINE C:\Users\takyt\AppData\Local\Programs\Python\Python310\python.exe thread_data.py
MEM 2.218750 1666595615.4672
MEM 21.175781 1666595615.5870
MEM 30.457031 1666595615.6957
MEM 37.925781 1666595615.8054
MEM 51.906250 1666595615.9180
MEM 69.183594 1666595616.0325
MEM 85.492188 1666595616.1407
MEM 98.296875 1666595616.2523
MEM 112.421875 1666595616.3619
MEM 123.222656 1666595616.4726
MEM 137.898438 1666595616.5942
MEM 153.699219 1666595616.7032
MEM 165.023438 1666595616.8112
MEM 176.816406 1666595616.9278
MEM 190.902344 1666595617.0492
MEM 202.441406 1666595617.1603
MEM 213.039062 1666595617.2718
MEM 227.082031 1666595617.3834
MEM 242.265625 1666595617.4966
MEM 257.605469 1666595617.6071
MEM 273.550781 1666595617.7177
MEM 287.949219 1666595617.8300
MEM 302.503906 1666595617.9376
MEM 315.488281 1666595618.0482
MEM 327.468750 1666595618.1548
MEM 341.746094 1666595618.2679
MEM 355.433594 1666595618.3785
MEM 368.671875 1666595618.4892
MEM 383.351562 1666595618.6028
MEM 394.414062 1666595618.7123
MEM 449.714844 1666595618.8238
MEM 426.859375 1666595618.9345
MEM 442.921875 1666595619.0470
MEM 458.320312 1666595619.1577
MEM 472.738281 1666595619.2687
MEM 487.988281 1666595619.3802
MEM 502.226562 1666595619.4903
MEM 558.359375 1666595619.6019
MEM 532.792969 1666595619.7116
MEM 546.484375 1666595619.8215
MEM 563.433594 1666595619.9352
MEM 580.746094 1666595620.0458
MEM 550.945312 1666595620.1565
MEM 417.257812 1666595620.2687
MEM 285.703125 1666595620.3772
MEM 287.710938 1666595620.4878
MEM 289.960938 1666595620.5993
MEM 292.082031 1666595620.7138
MEM 294.269531 1666595620.8203
MEM 296.707031 1666595620.9338
MEM 298.800781 1666595621.0453
MEM 301.050781 1666595621.1549
MEM 303.167969 1666595621.2669
MEM 305.480469 1666595621.3784
MEM 308.042969 1666595621.4889
MEM 310.328125 1666595621.6004
MEM 312.640625 1666595621.7119
MEM 314.914062 1666595621.8234
MEM 316.929688 1666595621.9320
MEM 319.242188 1666595622.0445
MEM 321.804688 1666595622.1561
MEM 324.179688 1666595622.2671
MEM 325.972656 1666595622.3788
