CMDLINE /usr/bin/python lin_data.py
MEM 0.746094 1666591102.6249
MEM 47.121094 1666591102.7781
MEM 87.082031 1666591102.9276
MEM 127.300781 1666591103.0767
MEM 161.625000 1666591103.2238
MEM 164.437500 1666591103.3690
MEM 167.230469 1666591103.5142
MEM 170.167969 1666591103.6593
MEM 172.988281 1666591103.8045
MEM 175.921875 1666591103.9499
MEM 179.011719 1666591104.0952
MEM 181.847656 1666591104.2405
MEM 184.742188 1666591104.3855
MEM 187.574219 1666591104.5307
MEM 190.410156 1666591104.6758
MEM 193.246094 1666591104.8212
MEM 196.234375 1666591104.9662
MEM 199.125000 1666591105.1113
MEM 201.960938 1666591105.2565
MEM 204.796875 1666591105.4018
MEM 207.632812 1666591105.5470
MEM 210.726562 1666591105.6922
MEM 213.562500 1666591105.8372
MEM 216.351562 1666591105.9824
MEM 219.445312 1666591106.1275
MEM 222.269531 1666591106.2727
MEM 225.105469 1666591106.4178
MEM 227.941406 1666591106.5630
MEM 230.777344 1666591106.7082
MEM 233.871094 1666591106.8534
MEM 236.707031 1666591106.9986
MEM 239.542969 1666591107.1438
MEM 242.378906 1666591107.2889
MEM 245.214844 1666591107.4340
MEM 248.054688 1666591107.5791
MEM 250.890625 1666591107.7243
MEM 253.726562 1666591107.8693
MEM 256.820312 1666591108.0145
MEM 259.550781 1666591108.1597
MEM 262.386719 1666591108.3049
MEM 265.480469 1666591108.4499
MEM 268.316406 1666591108.5951
MEM 271.152344 1666591108.7401
MEM 273.988281 1666591108.8852
MEM 276.824219 1666591109.0305
MEM 279.660156 1666591109.1755
MEM 282.496094 1666591109.3205
MEM 285.332031 1666591109.4656
MEM 288.167969 1666591109.6107
MEM 291.261719 1666591109.7557
MEM 294.097656 1666591109.9009
MEM 296.933594 1666591110.0476
MEM 299.667969 1666591110.1928
MEM 302.503906 1666591110.3380
MEM 305.597656 1666591110.4832
MEM 308.433594 1666591110.6283
MEM 311.269531 1666591110.7735
MEM 314.105469 1666591110.9186
MEM 317.101562 1666591111.0637
MEM 319.937500 1666591111.2088
MEM 322.773438 1666591111.3540
MEM 325.609375 1666591111.4991
MEM 328.445312 1666591111.6443
MEM 331.281250 1666591111.7894
MEM 334.375000 1666591111.9346
MEM 337.210938 1666591112.0798
MEM 340.046875 1666591112.2249
MEM 342.882812 1666591112.3700
MEM 345.718750 1666591112.5152
MEM 348.554688 1666591112.6605
MEM 351.648438 1666591112.8055
MEM 353.195312 1666591112.9561
MEM 277.054688 1666591113.1096
MEM 196.554688 1666591113.2608
MEM 151.601562 1666591113.4103
MEM 161.140625 1666591113.5672
MEM 162.171875 1666591113.7148
MEM 163.320312 1666591113.8598
MEM 164.609375 1666591114.0046
MEM 165.640625 1666591114.1497
MEM 166.929688 1666591114.2946
MEM 168.218750 1666591114.4395
MEM 169.312500 1666591114.5845
MEM 170.601562 1666591114.7293
MEM 171.890625 1666591114.8741
MEM 172.921875 1666591115.0189
MEM 174.210938 1666591115.1636
MEM 175.500000 1666591115.3085
MEM 176.750000 1666591115.4533
MEM 177.781250 1666591115.5983
MEM 179.070312 1666591115.7432
MEM 180.359375 1666591115.8880
MEM 181.390625 1666591116.0329
MEM 182.679688 1666591116.1778
MEM 183.968750 1666591116.3227
MEM 185.000000 1666591116.4677
MEM 186.289062 1666591116.6125
MEM 187.578125 1666591116.7574
MEM 188.609375 1666591116.9023
MEM 189.898438 1666591117.0470
MEM 191.058594 1666591117.1919
MEM 192.343750 1666591117.3368
MEM 193.375000 1666591117.4835
MEM 194.664062 1666591117.6283
MEM 195.695312 1666591117.7732
MEM 196.984375 1666591117.9181
MEM 198.273438 1666591118.0630
MEM 199.304688 1666591118.2079
MEM 200.593750 1666591118.3528
MEM 201.882812 1666591118.4975
MEM 202.914062 1666591118.6424
MEM 204.203125 1666591118.7872
MEM 205.492188 1666591118.9321
MEM 206.523438 1666591119.0770
MEM 207.812500 1666591119.2219
MEM 209.101562 1666591119.3667
MEM 210.132812 1666591119.5116
MEM 211.421875 1666591119.6563
MEM 212.710938 1666591119.8012
MEM 214.000000 1666591119.9462
MEM 215.289062 1666591120.0910
MEM 216.320312 1666591120.2358
MEM 217.609375 1666591120.3808
