CMDLINE /usr/bin/python multi_data.py
MEM 0.718750 1666591489.4093
MEM 133.429688 1666591489.5889
CHLD 0 50.160156 1666591489.6202
CHLD 1 51.171875 1666591489.6203
CHLD 2 44.480469 1666591489.6205
MEM 232.898438 1666591489.7538
CHLD 0 82.644531 1666591489.7860
CHLD 1 83.914062 1666591489.7861
CHLD 2 77.480469 1666591489.7863
MEM 332.156250 1666591489.9197
CHLD 0 115.128906 1666591489.9519
CHLD 1 117.171875 1666591489.9520
CHLD 2 110.738281 1666591489.9521
MEM 431.671875 1666591490.0858
CHLD 0 148.128906 1666591490.1182
CHLD 1 150.429688 1666591490.1183
CHLD 2 144.253906 1666591490.1184
MEM 486.136719 1666591490.2425
CHLD 0 159.132812 1666591490.2655
CHLD 1 160.738281 1666591490.2656
CHLD 2 158.945312 1666591490.2657
MEM 490.546875 1666591490.3895
CHLD 0 160.339844 1666591490.4127
CHLD 1 163.542969 1666591490.4128
CHLD 2 159.382812 1666591490.4128
MEM 495.152344 1666591490.5367
CHLD 0 161.367188 1666591490.5598
CHLD 1 166.468750 1666591490.5599
CHLD 2 159.894531 1666591490.5600
MEM 499.683594 1666591490.6838
CHLD 0 162.660156 1666591490.7069
CHLD 1 169.308594 1666591490.7070
CHLD 2 160.402344 1666591490.7070
MEM 504.175781 1666591490.8310
CHLD 0 163.691406 1666591490.8541
CHLD 1 172.144531 1666591490.8542
CHLD 2 160.917969 1666591490.8542
MEM 508.539062 1666591490.9780
CHLD 0 164.980469 1666591491.0011
CHLD 1 174.960938 1666591491.0012
CHLD 2 161.433594 1666591491.0013
MEM 513.011719 1666591491.1251
CHLD 0 166.070312 1666591491.1482
CHLD 1 177.820312 1666591491.1483
CHLD 2 161.949219 1666591491.1483
MEM 517.644531 1666591491.2721
CHLD 0 167.101562 1666591491.2952
CHLD 1 180.656250 1666591491.2953
CHLD 2 162.207031 1666591491.2954
MEM 522.058594 1666591491.4191
CHLD 0 168.390625 1666591491.4422
CHLD 1 183.523438 1666591491.4423
CHLD 2 162.722656 1666591491.4424
MEM 526.796875 1666591491.5662
CHLD 0 169.421875 1666591491.5893
CHLD 1 186.457031 1666591491.5894
CHLD 2 163.238281 1666591491.5895
MEM 531.179688 1666591491.7134
CHLD 0 170.710938 1666591491.7364
CHLD 1 189.292969 1666591491.7365
CHLD 2 163.753906 1666591491.7366
MEM 535.820312 1666591491.8605
CHLD 0 171.742188 1666591491.8835
CHLD 1 192.128906 1666591491.8836
CHLD 2 164.269531 1666591491.8837
MEM 540.253906 1666591492.0075
CHLD 0 173.031250 1666591492.0305
CHLD 1 194.964844 1666591492.0306
CHLD 2 164.835938 1666591492.0307
MEM 544.960938 1666591492.1545
CHLD 0 174.023438 1666591492.1776
CHLD 1 197.910156 1666591492.1777
CHLD 2 165.347656 1666591492.1778
MEM 549.343750 1666591492.3017
CHLD 0 175.312500 1666591492.3247
CHLD 1 200.746094 1666591492.3248
CHLD 2 165.863281 1666591492.3249
MEM 554.042969 1666591492.4486
CHLD 0 176.343750 1666591492.4717
CHLD 1 203.382812 1666591492.4718
CHLD 2 166.378906 1666591492.4718
MEM 558.425781 1666591492.5956
CHLD 0 177.632812 1666591492.6187
CHLD 1 206.476562 1666591492.6188
CHLD 2 166.894531 1666591492.6188
MEM 563.066406 1666591492.7426
CHLD 0 178.664062 1666591492.7658
CHLD 1 209.312500 1666591492.7659
CHLD 2 167.410156 1666591492.7659
MEM 567.449219 1666591492.8898
CHLD 0 179.953125 1666591492.9129
CHLD 1 212.148438 1666591492.9130
CHLD 2 167.925781 1666591492.9131
MEM 572.089844 1666591493.0370
CHLD 0 180.984375 1666591493.0604
CHLD 1 214.984375 1666591493.0605
CHLD 2 168.441406 1666591493.0606
MEM 576.472656 1666591493.1844
CHLD 0 182.273438 1666591493.2075
