CMDLINE /usr/bin/python thread_data.py
MEM 0.746094 1666591281.7624
MEM 38.085938 1666591281.9129
MEM 72.269531 1666591282.0598
MEM 104.070312 1666591282.2070
MEM 136.070312 1666591282.3539
MEM 160.246094 1666591282.4994
MEM 200.417969 1666591282.6452
MEM 231.933594 1666591282.7923
MEM 263.160156 1666591282.9393
MEM 294.707031 1666591283.0862
MEM 315.234375 1666591283.2318
MEM 335.242188 1666591283.3772
MEM 375.347656 1666591283.5240
MEM 407.347656 1666591283.6709
MEM 439.347656 1666591283.8177
MEM 470.121094 1666591283.9632
MEM 472.250000 1666591284.1076
MEM 472.917969 1666591284.2516
MEM 473.410156 1666591284.3955
MEM 474.726562 1666591284.5394
MEM 475.492188 1666591284.6834
MEM 477.441406 1666591284.8276
MEM 478.472656 1666591284.9715
MEM 479.949219 1666591285.1156
MEM 481.238281 1666591285.2598
MEM 482.750000 1666591285.4038
MEM 484.894531 1666591285.5480
MEM 486.679688 1666591285.6921
MEM 487.121094 1666591285.8359
MEM 488.023438 1666591285.9799
MEM 489.824219 1666591286.1239
MEM 490.160156 1666591286.2678
MEM 491.062500 1666591286.4119
MEM 491.832031 1666591286.5557
MEM 492.062500 1666591286.6996
MEM 492.574219 1666591286.8433
MEM 492.832031 1666591286.9871
MEM 493.347656 1666591287.1310
MEM 493.863281 1666591287.2749
MEM 494.121094 1666591287.4186
MEM 495.410156 1666591287.5626
MEM 497.015625 1666591287.7065
MEM 497.230469 1666591287.8504
MEM 497.625000 1666591287.9945
MEM 499.941406 1666591288.1386
MEM 502.101562 1666591288.2830
MEM 503.128906 1666591288.4269
MEM 503.605469 1666591288.5704
MEM 505.410156 1666591288.7141
MEM 505.925781 1666591288.8574
MEM 507.472656 1666591289.0008
MEM 509.742188 1666591289.1489
MEM 511.546875 1666591289.2926
MEM 512.457031 1666591289.4362
MEM 512.968750 1666591289.5796
MEM 513.742188 1666591289.7233
MEM 515.914062 1666591289.8670
MEM 516.687500 1666591290.0106
MEM 517.976562 1666591290.1541
MEM 518.234375 1666591290.2973
MEM 518.750000 1666591290.4407
MEM 520.296875 1666591290.5844
MEM 522.675781 1666591290.7280
MEM 523.191406 1666591290.8713
MEM 523.800781 1666591291.0145
MEM 525.347656 1666591291.1582
MEM 526.027344 1666591291.3018
MEM 527.707031 1666591291.4456
MEM 530.027344 1666591291.5895
MEM 532.347656 1666591291.7334
MEM 534.410156 1666591291.8773
MEM 536.472656 1666591292.0212
MEM 538.792969 1666591292.1649
MEM 539.304688 1666591292.3086
MEM 539.562500 1666591292.4521
MEM 541.367188 1666591292.5960
MEM 542.281250 1666591292.7397
MEM 544.339844 1666591292.8834
MEM 546.144531 1666591293.0274
MEM 546.804688 1666591293.1711
MEM 547.062500 1666591293.3147
MEM 547.578125 1666591293.4581
MEM 549.285156 1666591293.6017
MEM 549.796875 1666591293.7453
MEM 550.699219 1666591293.8891
MEM 551.207031 1666591294.0327
MEM 553.011719 1666591294.1766
MEM 554.816406 1666591294.3205
MEM 556.878906 1666591294.4644
MEM 558.941406 1666591294.6082
MEM 561.261719 1666591294.7520
MEM 563.324219 1666591294.8957
MEM 565.128906 1666591295.0393
MEM 567.449219 1666591295.1832
MEM 569.468750 1666591295.3268
MEM 571.011719 1666591295.4706
MEM 572.289062 1666591295.6144
MEM 574.347656 1666591295.7581
MEM 575.121094 1666591295.9017
MEM 576.410156 1666591296.0455
MEM 578.472656 1666591296.1893
MEM 579.449219 1666591296.3329
MEM 579.960938 1666591296.4813
MEM 581.097656 1666591296.6253
MEM 583.312500 1666591296.7692
MEM 585.632812 1666591296.9131
MEM 586.917969 1666591297.0570
MEM 587.691406 1666591297.2007
MEM 588.207031 1666591297.3444
MEM 588.464844 1666591297.4879
MEM 588.800781 1666591297.6318
MEM 589.312500 1666591297.7754
MEM 590.859375 1666591297.9192
MEM 592.406250 1666591298.0631
MEM 594.210938 1666591298.2071
MEM 596.273438 1666591298.3514
MEM 598.593750 1666591298.4953
MEM 598.851562 1666591298.6395
MEM 600.656250 1666591298.7835
MEM 600.925781 1666591298.9272
MEM 601.441406 1666591299.0710
MEM 601.628906 1666591299.2148
MEM 602.265625 1666591299.3586
